Status,Hold Date,Cut Date,Release Date,Created date,Radio Single,Link (from Composition IDs),Artist,Song Title,Spirit Songwriters,Other Songwriters,Spirit %,Agreement Type,DOC (from Compositions),DOD (from Compositions),Usage Conflict,Featured Artists,Label,Parent Label,Release TBD,ISRC,Track Title,Album Title,Release Version,Release Type,Credit Type,Genre,Mixer IDs (from Composition),Office for Filtering,Fund,Venture,Tags,Notes,External Contact(s),Spirit Contact,Status Last Modified
Released,,,11/12/2021,9/21/2026,,,Marc Benjamin,Waiting For You,Camylio,"Daan Makkinga,Joel M Hailey,Marc Latapapua,Rory Bennett",13.34%,ESA/Co-Pub,,12/16/2024,,NEVRMIND,Universal International Music B.V.,UMG (Universal Music Group),,NL4SF2100009,Waiting For You (feat. NEVRMIND),Waiting For You (feat. NEVRMIND) - Single,Main Version,Single,Writer,Dance,SMG_MSG_109_16730,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,5/12/2023,9/21/2026,,,Camylio,Unwanted,Camylio,"Liz Rose,Lucian Nagy",33.34%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12302834,unwanted,unwanted - Single,Main Version,Single,"Writer,Artist,Producer",Singer/Songwriter,SMG_MSG_109_16708,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,10/15/2021,9/21/2026,,,Camylio,Unbreak,Camylio,"Michael Needle,Rene Muller",33.34%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12105231,unbreak,all the songs i used to love,Main Version,Album,"Writer,Artist,Producer",Alternative,SMG_MSG_109_16707,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,5/24/2024,9/21/2026,,,Camylio,Trouble,Camylio,"Erik Teodor,Frans Thorell",33.34%,ESA/Co-Pub,,12/16/2024,Camylio (Released),,Mercury Records,,,USUG12402922,trouble,trouble - Single,Main Version,Single,"Writer,Artist,Producer",Alternative,SMG_MSG_109_16706,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,8/25/2023,9/21/2026,,,Camylio,Strangers,Camylio,"Mazie Jane Olinger,Ryan Linvill",33.34%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12307038,strangers,before we say goodbye,Main Version,Album,"Writer,Artist,Producer",Singer/Songwriter,SMG_MSG_109_16794,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,8/25/2021,9/21/2026,,,Camylio,Sometimes,Camylio,,100.00%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12101047,sometimes,sometimes - Single,Main Version,Single,"Writer,Artist,Producer",Alternative,SMG_MSG_109_16733,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,10/6/2023,9/21/2026,,,Camylio,See You Soon,Camylio,"Alexander Bilowitz,Jesse St John Geller",33.34%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12307036,see you soon,before we say goodbye,Main Version,Album,"Writer,Artist,Producer",Singer/Songwriter,SMG_MSG_109_16702,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,10/6/2023,9/21/2026,,,Camylio,Running,Camylio,"Jesper Borgan,Sophie Alexandra Tweed-Simmons",33.34%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12307034,running,before we say goodbye,Main Version,Album,"Writer,Artist,Producer",Singer/Songwriter,SMG_MSG_109_16701,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,7/5/2024,9/21/2026,,,Camylio,Parachute,Camylio,"David Alan Schaeman,Michael Matosic",33.34%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12403174,parachute,in the light and shadows,Main Version,Album,"Writer,Artist,Producer",Alternative,SMG_MSG_109_16700,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
Released,,,10/25/2024,9/21/2026,,,Camylio,Over Me,Camylio,Sophie Alexandra Tweed-Simmons,50.00%,ESA/Co-Pub,,12/16/2024,,,Mercury Records,,,USUG12405917,over me,over me - Single,Main Version,Single,"Writer,Artist,Producer",Alternative,SMG_MSG_109_16719,"SMN,SMG-US",SOS,SOS,,,,,9/21/2026
