isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
USRC12601645,SaWaDiKa,LISA,Volta,11367262,11150031,432,980600,yes
QT4K32616647,Is This My Life,Angelo Mota,"Angelo Mota,Hamish",572125,571914,0,0,yes
QT62W2609023,five minutes with god,Angelo Mota,Angelo Mota,11276,11274,0,0,yes
QT62W2609022,keep your head up,Angelo Mota,Angelo Mota,9887,9886,0,0,yes
QT62W2609017,Pray For Me,Angelo Mota,Angelo Mota,18372,18370,0,0,yes
QT62W2609016,Terrified,Angelo Mota,Angelo Mota,17273,17262,0,0,yes
QT4K42673607,or not,Angelo Mota,Angelo Mota,98612,98598,0,0,yes
QT62U2685069,Javelin,Angelo Mota,"Angelo Mota,Hamish",110922,110912,0,0,yes
QT62W2609015,Madman,Angelo Mota,Angelo Mota,18919,18914,0,0,yes
QT62W2609021,Good Enough,Angelo Mota,Angelo Mota,12346,12342,0,0,yes
QT62W2609020,Program,Angelo Mota,Angelo Mota,10440,10437,0,0,yes
QT62W2609019,Hills Have Eyes,Angelo Mota,Angelo Mota,13586,13584,0,0,yes
USQX92604649,Heaven,JENNIE,Volta,3275690,3200050,0,0,yes
QT6HJ2636439,Mine To Miss,Connor McCutcheon,Connor McCutcheon,8429,8429,0,0,yes
AUNCC2500106,Cliches,Jem Cassar-Daley,Brock Westover,9052,8705,0,0,yes
CA74P2600010,Why Does The Moon,Jess Moskaluke,"Jessica Cayne,Matthew Morrisey",24522,24363,0,0,yes
AUNCC2600016,Souvenir,Jem Cassar-Daley,Brock Westover,438,438,0,0,yes
QMDA62630329,Mess Of It,Brooke Lee,Brooke Lee,80070,79469,0,0,yes
GXJ2E2610400,Live Without You,"""AUGUSTKID, Laurentius, Mitchy & André & one more cig""",Justin Halpin,5631,5631,0,0,yes
QZUCN2202809,What It Means To Me,Ross Quinn,Jordan Cosmo,24850,24714,0,0,yes
QZWH32600307,Square Up,Dahi,Ely Rise,224258,219229,1,5800,yes
QZWH32600344,Stand For Something,Dahi,Ely Rise,73822,73667,3,7800,yes
QZWH32600343,The Night,Dahi,Ely Rise,84257,84066,0,0,yes
QZWH32600342,They Don't Know Me,Dahi,Ely Rise,94047,93981,0,0,yes
QZWH32600341,Love Me,Dahi,Ely Rise,110780,110728,3,28100,yes
QZWH32600339,Who Are You,Dahi,Ely Rise,168085,166801,1,7500,yes
QMDA62673423,Dirt In My Teeth,Joe Bryson,"Bobby Hamrick,Justin Halpin,Joe Bryson",28224,28197,0,0,yes
QZRD92608950,Daisy,Carly Pearce,Michael Hardy,94060,87583,14,36000,yes
CA5KR2667363,No Air,NGHTMRE,Melodie Wagner,655642,646491,294,167400,yes
QM6N22646772,Easy Love,Adam Chaffins,Adam Chaffins,4479,4239,0,0,yes
QZTV32601643,This Old Road Is Coming To An End,John Daly,"Nick Autry,Mike Fiorentino",3711,3711,0,0,yes
QMBZ92623609,Ghost,Peacemode,Joe Janiak,41869,41867,0,0,yes
QZ9H32600088,Werewolves of Hialeah,Mustard Service,"Marco Ochoa,Adam Perez,Leonardo Cattani",42203,42156,0,0,yes
QZ9H32600087,Caballito,Mustard Service,Marco Ochoa,20521,20500,0,0,yes
QZ9H32600065,Psalm 2,Mustard Service,Marco Ochoa,83556,83448,0,0,yes
QZ9H32600086,The Clock,Mustard Service,Marco Ochoa,29154,29116,0,0,yes
QZ9H32600085,Leap Year,Mustard Service,Marco Ochoa,45600,45543,0,0,yes
QZ9H32600084,Today I Killed My Son,Mustard Service,Marco Ochoa,34315,34298,0,0,yes
QZ9H32600082,I Want It All,Mustard Service,Marco Ochoa,66091,66031,0,0,yes
QZ9H32600081,Paradise,Mustard Service,Marco Ochoa,100803,100700,0,0,yes
USQX92602830,Blue Roan,Ian Munsick,Ryan Beaver,327478,318755,0,0,yes
QMRSZ2602650,Once In A Mile,John Morgan,Brent Anderson,850081,842509,0,0,yes
QM6N22651257,"You Get Drunk, I'll Get High",Adam Chaffins,Adam Chaffins,4350,4342,0,0,yes
QM6N22646499,Hard To Reach,Adam Chaffins,Adam Chaffins,7125,7117,0,0,yes
QM6N22646591,Flea Market,Adam Chaffins,"Adam Chaffins,Bobby Hamrick",4393,4386,0,0,yes
QM6N22647546,Stepped Over The Pieces,Adam Chaffins,"Adam Chaffins,Frank Rogers",6362,6358,0,0,yes
QM6N22647529,Get Rich,Adam Chaffins,Adam Chaffins,2869,2857,0,0,yes
DKQ7G2600084,Last Mile,Lukas Graham,Remy Gautreau,47851,44831,0,0,yes
QZJ842610605,Criminal,Gigi Moss,Nick Gale,171822,168317,0,0,yes
QMRSZ2602590,Let Him In Anyway,Blake Shelton,Michael Hardy,892614,884676,97988,194487200,yes
QZEQU2601153,Talk Shit,Adam Mac,Jessica Cayne,16870,16672,0,0,yes
QT6F82630691,Losing Horse,Gable Bradley,Mike Fiorentino,307,307,0,0,yes
QT6FY2678770,Komplicated,Arkade,Patrick Ridgen,1363,1363,0,0,yes
CBGAH2600010,Prairie Queen,Brandie Caroline,Jade Eagleson,4669,4623,0,0,yes
DEWO71701010,Both Sides Of Me,Unroyal,Mike Fiorentino,120714,120591,0,0,yes
USA2P2643642,Body,Jay Sean,Angel Delrae,115771,114392,0,0,yes
QZWH32600668,Maggie's Song (Old Blue Jeans),Jenna Paulette,Brent Anderson,312424,91512,12,0,yes
QMBZ92676346,You Either Love Me Or You Don't,Josh Weathers,Jeremy Bussey,22239,21737,0,0,yes
USSM12603931,Avoidance,AG Club,Hamish,37535,37523,0,0,yes
USAT22603602,Babygirl,Ravyn Lenae,Ely Rise,832470,827971,166,61800,yes
USAT22603606,Let Us In,Ravyn Lenae,Ely Rise,167707,167418,3,600,yes
USAT22603605,Find It One Day,Ravyn Lenae,Ely Rise,226995,226471,0,0,yes
USAT22603604,Wish You Well,Ravyn Lenae,Ely Rise,279172,278637,1,100,yes
USAT22603603,Barriers,Ravyn Lenae,Ely Rise,235924,235100,1,1200,yes
USAT22603601,Saturday Night,Ravyn Lenae,Ely Rise,1646369,1594910,19,33900,yes
USAT22601331,Reputation,Ravyn Lenae,Ely Rise,5554401,5065226,245,59100,yes
USAT22603600,Sew Me Back Together,Ravyn Lenae,Ely Rise,405921,403308,2,2300,yes
USAT22603598,In & Out,Ravyn Lenae,Ely Rise,1093034,1054179,27,19900,yes
USAT22603597,Never Let Me Go,Ravyn Lenae,Ely Rise,475733,474575,1,300,yes
USAT22603251,Handle,Ravyn Lenae,Ely Rise,2596458,2521448,37,2800,yes
